time,total_cases,daily_cases,total_currently_infected,total_death
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,0,0,0,0
2020-03-11,0,0,0,0
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,2,0,2,0
2020-04-01,2,0,2,0
2020-04-02,3,1,3,0
2020-04-03,3,0,3,0
2020-04-04,3,0,3,0
2020-04-05,3,0,3,0
2020-04-06,3,0,3,0
2020-04-07,3,0,3,0
2020-04-08,3,0,3,0
2020-04-09,3,0,3,0
2020-04-10,3,0,3,0
2020-04-11,5,2,5,0
2020-04-12,5,0,5,0
2020-04-13,5,0,4,1
2020-04-14,5,0,4,1
2020-04-15,5,0,4,1
2020-04-16,5,0,4,1
2020-04-17,5,0,4,1
2020-04-18,5,0,4,1
2020-04-19,5,0,4,1
2020-04-20,5,0,0,1
2020-04-21,5,0,0,1
2020-04-22,11,6,6,1
2020-04-23,11,0,6,1
2020-04-24,11,0,6,1
2020-04-25,11,0,6,1
2020-04-26,11,0,6,1
2020-04-27,11,0,6,1
2020-04-28,11,0,6,1
2020-04-29,11,0,6,1
2020-04-30,11,0,6,1
2020-05-01,11,0,6,1
2020-05-02,15,4,7,1
2020-05-03,15,0,7,1
2020-05-04,15,0,7,1
2020-05-05,15,0,7,1
2020-05-06,15,0,7,1
2020-05-07,15,0,7,1
2020-05-08,15,0,7,1
2020-05-09,15,0,7,1
2020-05-10,15,0,7,1
2020-05-11,15,0,7,1
2020-05-12,15,0,7,1
2020-05-13,15,0,7,1
2020-05-14,15,0,7,1
2020-05-15,15,0,7,1
2020-05-16,15,0,7,1
2020-05-17,23,8,7,1
2020-05-18,42,19,21,1
2020-05-19,42,0,21,1
2020-05-20,42,0,21,1
2020-05-21,42,0,21,1
2020-05-22,42,0,21,1
2020-05-23,42,0,21,1
2020-05-24,42,0,21,1
2020-05-25,42,0,21,1
2020-05-26,42,0,21,1
2020-05-27,42,0,21,1
2020-05-28,42,0,21,1
2020-05-29,42,0,21,1
2020-05-30,63,21,29,1
2020-05-31,63,0,29,1
2020-06-01,63,0,29,1
2020-06-02,63,0,29,1
2020-06-03,63,0,29,1
2020-06-04,63,0,29,1
2020-06-05,63,0,29,1
2020-06-06,83,20,37,1
2020-06-07,83,0,37,1
2020-06-08,83,0,37,1
2020-06-09,83,0,37,1
2020-06-10,83,0,37,1
2020-06-11,85,2,39,1
2020-06-12,85,0,39,1
2020-06-13,85,0,39,1
2020-06-14,85,0,39,1
2020-06-15,85,0,39,1
2020-06-16,104,19,28,1
2020-06-17,104,0,28,1
2020-06-18,104,0,28,1
2020-06-19,104,0,28,1
2020-06-20,104,0,28,1
2020-06-21,144,40,50,1
2020-06-22,144,0,50,1
2020-06-23,144,0,50,1
2020-06-24,144,0,50,1
2020-06-25,144,0,50,1
2020-06-26,144,0,50,1
2020-06-27,170,26,54,1
2020-06-28,170,0,54,1
2020-06-29,170,0,54,1
2020-06-30,170,0,54,1
2020-07-01,170,0,54,1
2020-07-02,170,0,54,1
2020-07-03,191,21,72,1
2020-07-04,191,0,72,1
2020-07-05,191,0,72,1
2020-07-06,191,0,72,1
2020-07-07,191,0,72,1
2020-07-08,191,0,72,1
2020-07-09,191,0,72,1
2020-07-10,191,0,72,1
2020-07-11,191,0,72,1
2020-07-12,191,0,72,1
2020-07-13,269,78,61,1
2020-07-14,269,0,61,1
2020-07-15,269,0,61,1
2020-07-16,303,34,95,1
2020-07-17,310,7,102,1
2020-07-18,310,0,102,1
2020-07-19,310,0,102,1
2020-07-20,322,12,114,1
2020-07-21,328,6,120,1
2020-07-22,328,0,120,1
2020-07-23,345,17,74,1
2020-07-24,345,0,74,1
2020-07-25,361,16,81,1
2020-07-26,361,0,81,1
2020-07-27,378,17,76,1
2020-07-28,378,0,76,1
2020-07-29,387,9,82,1
2020-07-30,387,0,82,1
2020-07-31,387,0,82,1
2020-08-01,395,8,90,1
2020-08-02,395,0,90,1
2020-08-03,395,0,90,1
2020-08-04,395,0,90,1
2020-08-05,395,0,90,1
2020-08-06,405,10,92,1
2020-08-07,405,0,92,1
2020-08-08,405,0,92,1
2020-08-09,408,3,92,1
2020-08-10,408,0,92,1
2020-08-11,408,0,92,1
2020-08-12,409,1,93,1
2020-08-13,410,1,94,1
2020-08-14,412,2,96,1
2020-08-15,412,0,96,1
2020-08-16,413,1,97,1
2020-08-17,413,0,76,1
2020-08-18,416,3,79,1
2020-08-19,422,6,85,1
2020-08-20,422,0,85,1
2020-08-21,426,4,89,1
2020-08-22,429,3,92,1
2020-08-23,430,1,93,1
2020-08-24,430,0,84,1
2020-08-25,430,0,84,1
2020-08-26,430,0,84,1
2020-08-27,431,1,85,1
2020-08-28,433,2,87,1
2020-08-29,445,12,87,1
2020-08-30,445,0,87,1
