time,total_cases,daily_cases,total_currently_infected
2020-02-15,0,0,0
2020-02-16,0,0,0
2020-02-17,0,0,0
2020-02-18,0,0,0
2020-02-19,0,0,0
2020-02-20,0,0,0
2020-02-21,0,0,0
2020-02-22,0,0,0
2020-02-23,0,0,0
2020-02-24,0,0,0
2020-02-25,0,0,0
2020-02-26,0,0,0
2020-02-27,0,0,0
2020-02-28,0,0,0
2020-02-29,0,0,0
2020-03-01,0,0,0
2020-03-02,0,0,0
2020-03-03,0,0,0
2020-03-04,0,0,0
2020-03-05,0,0,0
2020-03-06,1,0,1
2020-03-07,1,0,1
2020-03-08,1,0,1
2020-03-09,1,0,1
2020-03-10,1,0,1
2020-03-11,1,0,1
2020-03-12,1,0,1
2020-03-13,1,0,1
2020-03-14,1,0,1
2020-03-15,1,0,1
2020-03-16,1,0,1
2020-03-17,1,0,1
2020-03-18,1,0,1
2020-03-19,1,0,1
2020-03-20,2,1,2
2020-03-21,2,0,2
2020-03-22,2,0,2
2020-03-23,2,0,2
2020-03-24,2,0,2
2020-03-25,2,0,2
2020-03-26,2,0,2
2020-03-27,3,1,3
2020-03-28,3,0,3
2020-03-29,4,1,4
2020-03-30,4,0,4
2020-03-31,4,0,4
2020-04-01,4,0,4
2020-04-02,5,1,4
2020-04-03,5,0,3
2020-04-04,5,0,3
2020-04-05,5,0,3
2020-04-06,5,0,3
2020-04-07,5,0,3
2020-04-08,5,0,3
2020-04-09,5,0,3
2020-04-10,5,0,3
2020-04-11,5,0,3
2020-04-12,5,0,3
2020-04-13,5,0,3
2020-04-14,5,0,3
2020-04-15,5,0,3
2020-04-16,5,0,3
2020-04-17,5,0,3
2020-04-18,5,0,3
2020-04-19,5,0,3
2020-04-20,5,0,3
2020-04-21,6,1,4
2020-04-22,7,1,5
2020-04-23,7,0,4
2020-04-24,7,0,4
2020-04-25,7,0,4
2020-04-26,7,0,3
2020-04-27,7,0,3
2020-04-28,7,0,2
2020-04-29,7,0,2
2020-04-30,7,0,2
2020-05-01,7,0,2
2020-05-02,7,0,2
2020-05-03,7,0,2
2020-05-04,7,0,2
2020-05-05,7,0,2
2020-05-06,7,0,2
2020-05-07,7,0,2
2020-05-08,7,0,2
2020-05-09,7,0,2
2020-05-10,7,0,2
2020-05-11,9,2,4
2020-05-12,11,2,6
2020-05-13,11,0,6
2020-05-14,20,9,15
2020-05-15,21,1,16
